스톤 ID,스톤 등급,스톤 티어,강화비용,해금 레벨,해금 강화 수치,재설정 비용,강화 초기화 비용,강화 초기 확률,강화 최대 확률,강화 최소 확률,첫번째 칸 강화 횟수,두번째 칸 강화 횟수,세번째 칸 강화 횟수
stoneId,stoneGrade,stoneTier,stoneUpCost,stoneUnlock,stoneNeedUp,stoneStatRerollCost,stoneUpResetCost,stoneUpStartProbability,stoneMaxProbability,stoneMinProbability,stoneFirstUpOpportunity,stoneSecondUpOpportunity,stoneThirdUpOpportunity
int,enum,bool,int,int,int,int,int,float,float,float,int,int,int
1050001,0,0,1000,50,0,1000,100,0.75,0.75,0.25,10,10,10
1050002,1,0,1500,60,12,1500,150,0.75,0.75,0.25,10,10,10
1050003,2,0,2000,70,13,2000,200,0.75,0.75,0.25,10,10,10
1050004,3,0,2500,80,14,2500,250,0.75,0.75,0.25,10,10,10
1050005,4,0,3000,90,15,3000,300,0.75,0.75,0.25,10,10,10
1050006,0,1,4000,100,15,3500,350,0.75,0.75,0.25,10,10,10
1050007,1,1,4500,110,15,4000,400,0.75,0.75,0.25,10,10,10
1050008,2,1,5000,120,16,4500,450,0.75,0.75,0.25,10,10,10
1050009,3,1,5500,130,16,5000,500,0.75,0.75,0.25,10,10,10
1050010,4,1,6000,140,16,5500,550,0.75,0.75,0.25,10,10,10
