시너지 Id,시너지 종류(desc),시너지 등급,제공 스텟1,제공 스텟2,스텟 제공량1,스텟 제공량2,시너지 이름 text,시너지 효과 설명 text
synergyId,synergyType,synergyRarity,providedStat1,providedStat2,statUp1,statUp2,synergyName,synergyDescription
int,string,rarityType,statType,statType,float,float,string,string
3431001,공격력,1,5,0,0.06,0,일반 공격력 시너지,공격력 6% 증가
3432001,공격력,2,5,0,0.07,0,희귀 공격력 시너지,공격력 7% 증가
3433001,공격력,3,5,0,0.08,0,영웅 공격력 시너지,공격력 8% 증가
3434001,공격력,4,5,0,0.09,0,전설 공격력 시너지,공격력 9% 증가
3435001,공격력,5,5,0,0.1,0,신화 공격력 시너지 ,공격력 10% 증가
3431002,공격 속도,1,6,0,0.06,0,일반 공격속도 시너지,공격 속도 6% 증가
3432002,공격 속도,2,6,0,0.07,0,희귀 공격속도 시너지,공격 속도 7% 증가
3433002,공격 속도,3,6,0,0.08,0,영웅 공격속도 시너지,공격 속도 8% 증가
3434002,공격 속도,4,6,0,0.09,0,전설 공격속도 시너지,공격 속도 9% 증가
3435002,공격 속도,5,6,0,0.1,0,신화 공격속도 시너지 ,공격 속도 10% 증가
3431003,저항력,1,7,8,0.06,0.06,일반 저항력 시너지,저항력 6% 증가
3432003,저항력,2,7,8,0.07,0.07,희귀 저항력 시너지,저항력 7% 증가
3433003,저항력,3,7,8,0.08,0.08,영웅 저항력 시너지,저항력 8% 증가
3434003,저항력,4,7,8,0.09,0.09,전설 저항력 시너지,저항력 9% 증가
3435003,저항력,5,7,8,0.1,0.1,신화 저항력 시너지 ,저항력 10% 증가
3431004,이동 속도,1,11,0,0.06,0,일반 이동속도 시너지,이동 속도 6% 증가
3432004,이동 속도,2,11,0,0.07,0,희귀 이동속도 시너지,이동 속도 7% 증가
3433004,이동 속도,3,11,0,0.08,0,영웅 이동속도 시너지,이동 속도 8% 증가
3434004,이동 속도,4,11,0,0.09,0,전설 이동속도 시너지,이동 속도 9% 증가
3435004,이동 속도,5,11,0,0.1,0,신화 이동속도 시너지 ,이동 속도 10% 증가
3431005,골드 획득량,1,13,0,0.06,0,일반 재화 획득량 시너지,골드 획득량 6% 증가
3432005,골드 획득량,2,13,0,0.07,0,희귀 재화 획득량 시너지,골드 획득량 7% 증가
3433005,골드 획득량,3,13,0,0.08,0,영웅 재화 획득량 시너지,골드 획득량 8% 증가
3434005,골드 획득량,4,13,0,0.09,0,전설 재화 획득량 시너지,골드 획득량 9% 증가
3435005,골드 획득량,5,13,0,0.1,0,신화 재화 획득량 시너지 ,골드 획득량 10% 증가
3431006,체력,1,1,0,0.06,0,일반 체력 시너지,체력 6% 증가
3432006,체력,2,1,0,0.07,0,희귀 체력 시너지,체력 7% 증가
3433006,체력,3,1,0,0.08,0,영웅 체력 시너지,체력 8% 증가
3434006,체력,4,1,0,0.09,0,전설 체력 시너지,체력 9% 증가
3435006,체력,5,1,0,0.1,0,신화 체력 시너지 ,체력 10% 증가
3431007,일반 데미지,1,16,0,0.06,0,일반 일몹 데미지 시너지,일반 데미지 6% 증가
3432007,일반 데미지,2,16,0,0.07,0,희귀 일몹 데미지 시너지,일반 데미지 7% 증가
3433007,일반 데미지,3,16,0,0.08,0,영웅 일몹 데미지 시너지,일반 데미지 8% 증가
3434007,일반 데미지,4,16,0,0.09,0,전설 일몹 데미지 시너지,일반 데미지 9% 증가
3435007,일반 데미지,5,16,0,0.1,0,신화 일몹 데미지 시너지 ,일반 데미지 10% 증가
3431008,보스 데미지,1,15,0,0.06,0,일반 보스 데미지 시너지,보스 데미지 6% 증가
3432008,보스 데미지,2,15,0,0.07,0,희귀 보스 데미지 시너지,보스 데미지 7% 증가
3433008,보스 데미지,3,15,0,0.08,0,영웅 보스 데미지 시너지,보스 데미지 8% 증가
3434008,보스 데미지,4,15,0,0.09,0,전설 보스 데미지 시너지,보스 데미지 9% 증가
3435008,보스 데미지,5,15,0,0.1,0,신화 보스 데미지 시너지 ,보스 데미지 10% 증가
