오프라인 보상 ID,스테이지 레벨,단위 시간 (분),보상 가중치,골드 보상 (분),경험 치 보상 (분),장비 드랍 id,장비 드랍 확률(%),픽시조각 드랍 확률(%),스킬 주문서 드랍 확률(%),스킬 잼 드랍 확률(%),입장권 드랍 확률(%),빙고 일반 링크 드랍 확률,빙고 희귀 링크 드랍 확률,빙고 영웅 링크 드랍 확률,빙고 전설 링크 드랍 확률,빙고 신화 링크 드랍 확률,당기기 아이템 A드랍 확률,빙고 아이템 B드랍 확률,시너지 (일반),시너지 (희귀),시너지 (영웅),시너지 (전설),시너지 (신화)
ID,stageLevel,UnitTime,rewardWeight,goldReward,expReward,equipmentDropID,equipmentRate,fairyPieceRate,scrollRate,gemRate,keyRate,link_0,link_1,link_2,link_3,link_4,bingoItem_A,bingoItem_B,synergy_0,synergy_1,synergy_2,synergy_3,synergy_4
int,int,float,float,BigDouble,int,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
6610001,1,0.5,0.6,19800,72,6520001,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610002,2,0.5,0.6,20070,76,6520002,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610003,3,0.5,0.6,20381,79,6520003,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610004,4,0.5,0.6,20738,83,6520004,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610005,5,0.5,0.6,21148,88,6520005,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610006,6,0.5,0.6,21620,92,6520006,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610007,7,0.5,0.6,22164,96,6520007,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610008,8,0.5,0.6,22788,101,6520008,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610009,9,0.5,0.6,23506,106,6520009,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610010,10,0.5,0.6,24332,112,6520010,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610011,11,0.5,0.6,25282,117,6520011,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610012,12,0.5,0.6,26374,123,6520012,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610013,13,0.5,0.6,27630,129,6520013,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610014,14,0.5,0.6,29075,136,6520014,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610015,15,0.5,0.6,30736,143,6520015,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610016,16,0.5,0.6,32647,150,6520016,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610017,17,0.5,0.6,34844,157,6520017,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610018,18,0.5,0.6,37370,165,6520018,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610019,19,0.5,0.6,40276,173,6520019,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610020,20,0.5,0.6,43617,182,6520020,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610021,21,0.5,0.6,47460,191,6520021,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610022,22,0.5,0.6,51879,201,6520022,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610023,23,0.5,0.6,56961,211,6520023,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610024,24,0.5,0.6,62805,221,6520024,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610025,25,0.5,0.6,69525,232,6520025,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610026,26,0.5,0.6,77254,244,6520026,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610027,27,0.5,0.6,86142,256,6520027,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610028,28,0.5,0.6,96364,269,6520028,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610029,29,0.5,0.6,108118,282,6520029,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610030,30,0.5,0.6,121636,296,6520030,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610031,31,0.5,0.6,137181,311,6520031,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610032,32,0.5,0.6,155058,327,6520032,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610033,33,0.5,0.6,175617,343,6520033,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610034,34,0.5,0.6,199260,360,6520034,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610035,35,0.5,0.6,226449,378,6520035,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610036,36,0.5,0.6,257716,397,6520036,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610037,37,0.5,0.6,293673,417,6520037,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610038,38,0.5,0.6,335024,438,6520038,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610039,39,0.5,0.6,382578,460,6520039,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610040,40,0.5,0.6,437265,483,6520040,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610041,41,0.5,0.6,500154,507,6520041,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610042,42,0.5,0.6,572478,532,6520042,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610043,43,0.5,0.6,655649,559,6520043,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610044,44,0.5,0.6,751297,587,6520044,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610045,45,0.5,0.6,861291,616,6520045,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610046,46,0.5,0.6,987785,647,6520046,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610047,47,0.5,0.6,1133252,679,6520047,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610048,48,0.5,0.6,1300540,713,6520048,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610049,49,0.5,0.6,1492921,749,6520049,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610050,50,0.5,0.6,1714159,786,6520050,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610051,51,0.5,0.6,1968583,826,6520051,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610052,52,0.5,0.6,2261171,867,6520052,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
6610053,53,0.5,0.6,2597647,910,6520053,0.12,1.2,0.6,0.12,0,0.12,0.06,0.012,0.006,0.0012,0.6,0.12,1.2,0.6,0.12,0.06,0.012
