장비드랍ID,스테이지 레벨,최저 장비 티어,장비 티어 가중치 01,장비 티어 가중치 02,장비 티어 가중치 03,장비 티어 가중치 04
ID,stageLevel,BaseEquipmentTier,EquipmentTierWeight01,EquipmentTierWeight02,EquipmentTierWeight03,EquipmentTierWeight04
int,int,int,int,int,int,int
6520001,1,1,800,150,40,10
6520002,2,1,800,150,40,10
6520003,3,1,800,150,40,10
6520004,4,2,800,150,40,10
6520005,5,2,800,150,40,10
6520006,6,2,800,150,40,10
6520007,7,3,800,150,40,10
6520008,8,3,800,150,40,10
6520009,9,3,800,150,40,10
6520010,10,4,800,150,40,10
6520011,11,4,800,150,40,10
6520012,12,4,800,150,40,10
6520013,13,5,800,150,40,10
6520014,14,5,800,150,40,10
6520015,15,5,800,150,40,10
6520016,16,6,800,150,40,10
6520017,17,6,800,150,40,10
6520018,18,6,800,150,40,10
6520019,19,7,800,150,40,10
6520020,20,7,800,150,40,10
6520021,21,7,800,150,40,10
6520022,22,8,800,150,40,10
6520023,23,8,800,150,40,10
6520024,24,8,800,150,40,10
6520025,25,9,800,150,40,10
6520026,26,9,800,150,40,10
6520027,27,9,800,150,40,10
6520028,28,10,800,150,40,10
6520029,29,10,800,150,40,10
6520030,30,10,800,150,40,10
6520031,31,11,800,150,40,10
6520032,32,11,800,150,40,10
6520033,33,11,800,150,40,10
6520034,34,12,800,150,40,10
6520035,35,12,800,150,40,10
6520036,36,12,800,150,40,10
6520037,37,13,800,150,40,10
6520038,38,13,800,150,40,10
6520039,39,13,800,150,40,10
