드랍테이블 ID,골드 드랍,장비 드랍 id,장비 드랍 확률(%),픽시조각 드랍 확률(%),스킬 주문서 드랍 확률(%),스킬 잼 드랍 확률(%),입장권 드랍 확률(%)
ID,dropGold,equipmentDropID,equipmentRate,fairyPieceRate,scrollRate,gemRate,keyRate
int,int,int,float,float,float,float,float
6510001,50,6520001,5,0.01,0.005,0.001,0.001
6510002,,6520002,,,,,
6510003,,6520003,,,,,
6510004,,6520004,,,,,
6510005,,6520005,,,,,
6510006,,6520006,,,,,
6510007,,6520007,,,,,
6510008,,6520008,,,,,
6510009,,6520009,,,,,
6510010,,6520010,,,,,
6510011,,6520011,,,,,
6510012,,6520012,,,,,
6510013,,6520013,,,,,
6510014,,6520014,,,,,
6510015,,6520015,,,,,
6510016,,6520016,,,,,
6510017,,6520017,,,,,
6510018,,6520018,,,,,
6510019,,6520019,,,,,
6510020,,6520020,,,,,
6510021,,6520021,,,,,
6510022,,6520022,,,,,
6510023,,6520023,,,,,
6510024,,6520024,,,,,
6510025,,6520025,,,,,
