장비보상ID,보상 장비 개수,스테이지 레벨,최저 장비 티어,장비 티어 가중치 01,장비 티어 가중치 02,장비 티어 가중치 03,장비 티어 가중치 04,장비 티어 가중치 05
equipmentRewardID,itemCount,stageLevel,BaseEquipmentTier,EquipmentTierWeight01,EquipmentTierWeight02,EquipmentTierWeight03,EquipmentTierWeight04,EquipmentTierWeight05
int,int,int,int,int,int,int,int,int
6525001,10,20,7,800,150,40,9,1
6525002,10,25,9,800,150,40,9,1
6525003,10,30,10,800,150,40,9,1
6525004,10,35,12,800,150,40,9,1
6525005,10,40,14,800,150,40,9,1
6525006,10,45,15,800,150,40,9,1
6525007,10,50,17,800,150,40,9,1
6525008,10,55,19,800,150,40,9,1
6525009,10,60,20,800,150,40,9,1
6525010,10,65,22,800,150,40,9,1
6525011,10,70,24,800,150,40,9,1
6525012,10,75,25,800,150,40,9,1
6525013,10,80,27,800,150,40,9,1
6525014,10,85,29,800,150,40,9,1
6525015,10,90,30,800,150,40,9,1
6525016,10,95,32,800,150,40,9,1
