장갑_ID,장갑설명,마법저항력(%)
gloveId,description,magicDefense
int,desc,float
3130101,1성일반장갑,5
3130102,1성희귀장갑,6
3130103,1성레어장갑,7
3130104,1성전설장갑,8
3130105,1성신화장갑,9
3130201,2성일반장갑,10
3130202,2성희귀장갑,11
3130203,2성레어장갑,12
3130204,2성전설장갑,13
3130205,2성신화장갑,14
3130301,3성일반장갑,15
3130302,3성희귀장갑,16
3130303,3성레어장갑,17
3130304,3성전설장갑,18
3130305,3성신화장갑,19
3130401,4성일반장갑,20
3130402,4성희귀장갑,21
3130403,4성레어장갑,22
3130404,4성전설장갑,23
3130405,4성신화장갑,24
3130501,5성일반장갑,25
3130502,5성희귀장갑,26
3130503,5성레어장갑,27
3130504,5성전설장갑,28
3130505,5성신화장갑,29
