투구_ID,투구설명,물리저항력,,,,,,,,,,,,,,,,,,,,,,
helmetId,description,defense,,,,,,,,,,,,,,,,,,,,,,
int,desc,float,,,,,,,,,,,,,,,,,,,,,,
3120101,1성일반투구,0.05,,,,,,,,,,,,,,,,,,,,,,
3120102,1성희귀투구,0.06,,,,,,,,,,,,,,,,,,,,,,
3120103,1성레어투구,0.07,,,,,,,,,,,,,,,,,,,,,,
3120104,1성전설투구,0.08,,,,,,,,,,,,,,,,,,,,,,
3120105,1성신화투구,0.09,,,,,,,,,,,,,,,,,,,,,,
3120201,2성일반투구,0.1,,,,,,,,,,,,,,,,,,,,,,
3120202,2성희귀투구,0.11,,,,,,,,,,,,,,,,,,,,,,
3120203,2성레어투구,0.12,,,,,,,,,,,,,,,,,,,,,,
3120204,2성전설투구,0.13,,,,,,,,,,,,,,,,,,,,,,
3120205,2성신화투구,0.14,,,,,,,,,,,,,,,,,,,,,,
3120301,3성일반투구,0.15,,,,,,,,,,,,,,,,,,,,,,
3120302,3성희귀투구,0.16,,,,,,,,,,,,,,,,,,,,,,
3120303,3성레어투구,0.17,,,,,,,,,,,,,,,,,,,,,,
3120304,3성전설투구,0.18,,,,,,,,,,,,,,,,,,,,,,
3120305,3성신화투구,0.19,,,,,,,,,,,,,,,,,,,,,,
3120401,4성일반투구,0.2,,,,,,,,,,,,,,,,,,,,,,
3120402,4성희귀투구,0.21,,,,,,,,,,,,,,,,,,,,,,
3120403,4성레어투구,0.22,,,,,,,,,,,,,,,,,,,,,,
3120404,4성전설투구,0.23,,,,,,,,,,,,,,,,,,,,,,
3120405,4성신화투구,0.24,,,,,,,,,,,,,,,,,,,,,,
3120501,5성일반투구,0.25,,,,,,,,,,,,,,,,,,,,,,
3120502,5성희귀투구,0.26,,,,,,,,,,,,,,,,,,,,,,
3120503,5성레어투구,0.27,,,,,,,,,,,,,,,,,,,,,,
3120504,5성전설투구,0.28,,,,,,,,,,,,,,,,,,,,,,
