몬스터 성장 ID,스테이지 레벨,공격력 배율,공격속도 배율,체력 배율
ID,stageLevelScale,monsterAttScale,monsterAttsScale,monsterHPScale
int,int,float,float,float
2310001,,,,
2310002,,,,
2310003,,,,
2310004,,,,
2310005,,,,
2310006,,,,
2310007,,,,
2310008,,,,
2310009,,,,
2310010,,,,
2310011,,,,
2310012,,,,
2310013,,,,
2310014,,,,
2310015,,,,
2310016,,,,
2310017,,,,
2310018,,,,
2310019,,,,
2310020,,,,
2310021,,,,
2310022,,,,
2310023,,,,
2310024,,,,
2310025,,,,
2310026,,,,
2310027,,,,
2310028,,,,
2310029,,,,
2310030,,,,
2310031,,,,
2310032,,,,
2310033,,,,
2310034,,,,
2310035,,,,
2310036,,,,
2310037,,,,
2310038,,,,
2310039,,,,
2310040,,,,
2310041,,,,
2310042,,,,
2310043,,,,
2310044,,,,
2310045,,,,
2310046,,,,
2310047,,,,
