투구_ID,투구설명,물리저항력(%)
helmetId,description,defense
int,desc,float
3120101,1성일반투구,5
3120102,1성희귀투구,6
3120103,1성레어투구,7
3120104,1성전설투구,8
3120105,1성신화투구,9
3120201,2성일반투구,10
3120202,2성희귀투구,11
3120203,2성레어투구,12
3120204,2성전설투구,13
3120205,2성신화투구,14
3120301,3성일반투구,15
3120302,3성희귀투구,16
3120303,3성레어투구,17
3120304,3성전설투구,18
3120305,3성신화투구,19
3120401,4성일반투구,20
3120402,4성희귀투구,21
3120403,4성레어투구,22
3120404,4성전설투구,23
3120405,4성신화투구,24
3120501,5성일반투구,25
3120502,5성희귀투구,26
3120503,5성레어투구,27
3120504,5성전설투구,28
3120505,5성신화투구,29
