아이템 ID,아이템 타입,아이템 명 스트링 키,스택 가능 여부,아이템 명
id,itemType,itemName,isStack,desc
int,enum,string,bool,stirng
3210001,21,,TRUE,스킬 주문서 1
3210002,21,,TRUE,스킬 주문서 2
3210003,21,,TRUE,스킬 주문서 3
3210004,21,,TRUE,스킬 주문서 4
3210005,21,,TRUE,스킬 주문서 5
3210006,21,,TRUE,스킬 주문서 6
3210007,21,,TRUE,스킬 주문서 7
3210008,21,,TRUE,스킬 주문서 8
3210009,21,,TRUE,스킬 주문서 9
3220001,22,,TRUE,속성잼 1
3220002,22,,TRUE,속성잼 2
3220003,22,,TRUE,속성잼 3
3220004,22,,TRUE,속성잼 4
3220005,22,,TRUE,속성잼 5
3220006,22,,TRUE,속성잼 6
3220007,22,,TRUE,속성잼 7
3220008,22,,TRUE,속성잼 8
3230001,23,,TRUE,유니크잼 1
3230002,23,,TRUE,유니크잼 2
3310001,31,,TRUE,픽시 조각 1
3310002,31,,TRUE,픽시 조각 2
3310003,31,,TRUE,픽시 조각 3
3310004,31,,TRUE,픽시 조각 4
3310005,31,,TRUE,픽시 조각 5
3310006,31,,TRUE,픽시 조각 6
3310007,31,,TRUE,픽시 조각 7
3310008,31,,TRUE,픽시 조각 8
3310009,31,,TRUE,픽시 조각 9
3310010,31,,TRUE,픽시 조각 10
3310011,31,,TRUE,픽시 조각 11
3310012,31,,TRUE,픽시 조각 12
3810001,81,,TRUE,골드
3820002,82,,TRUE,크리스탈
3110101,11,,FALSE,1성일반무기
3110102,11,,FALSE,1성희귀무기
3110103,11,,FALSE,1성레어무기
3110104,11,,FALSE,1성전설무기
3110105,11,,FALSE,1성신화무기
3110201,11,,FALSE,2성일반무기
3110202,11,,FALSE,2성희귀무기
3110203,11,,FALSE,2성레어무기
3110204,11,,FALSE,2성전설무기
3110205,11,,FALSE,2성신화무기
3110301,11,,FALSE,3성일반무기
3110302,11,,FALSE,3성희귀무기
3110303,11,,FALSE,3성레어무기
3110304,11,,FALSE,3성전설무기
3110305,11,,FALSE,3성신화무기
3110401,11,,FALSE,4성일반무기
3110402,11,,FALSE,4성희귀무기
3110403,11,,FALSE,4성레어무기
3110404,11,,FALSE,4성전설무기
3110405,11,,FALSE,4성신화무기
3110501,11,,FALSE,5성일반무기
3110502,11,,FALSE,5성희귀무기
3110503,11,,FALSE,5성레어무기
3110504,11,,FALSE,5성전설무기
3110505,11,,FALSE,5성신화무기
3120101,12,,FALSE,1성일반투구
3120102,12,,FALSE,1성희귀투구
3120103,12,,FALSE,1성레어투구
3120104,12,,FALSE,1성전설투구
3120105,12,,FALSE,1성신화투구
3120201,12,,FALSE,2성일반투구
3120202,12,,FALSE,2성희귀투구
3120203,12,,FALSE,2성레어투구
3120204,12,,FALSE,2성전설투구
3120205,12,,FALSE,2성신화투구
3120301,12,,FALSE,3성일반투구
3120302,12,,FALSE,3성희귀투구
3120303,12,,FALSE,3성레어투구
3120304,12,,FALSE,3성전설투구
3120305,12,,FALSE,3성신화투구
3120401,12,,FALSE,4성일반투구
3120402,12,,FALSE,4성희귀투구
3120403,12,,FALSE,4성레어투구
3120404,12,,FALSE,4성전설투구
3120405,12,,FALSE,4성신화투구
3120501,12,,FALSE,5성일반투구
3120502,12,,FALSE,5성희귀투구
3120503,12,,FALSE,5성레어투구
3120504,12,,FALSE,5성전설투구
3120505,12,,FALSE,5성신화투구
3130101,13,,FALSE,1성일반장갑
3130102,13,,FALSE,1성희귀장갑
3130103,13,,FALSE,1성레어장갑
3130104,13,,FALSE,1성전설장갑
3130105,13,,FALSE,1성신화장갑
3130201,13,,FALSE,2성일반장갑
3130202,13,,FALSE,2성희귀장갑
3130203,13,,FALSE,2성레어장갑
3130204,13,,FALSE,2성전설장갑
3130205,13,,FALSE,2성신화장갑
3130301,13,,FALSE,3성일반장갑
3130302,13,,FALSE,3성희귀장갑
3130303,13,,FALSE,3성레어장갑
3130304,13,,FALSE,3성전설장갑
3130305,13,,FALSE,3성신화장갑
3130401,13,,FALSE,4성일반장갑
3130402,13,,FALSE,4성희귀장갑
3130403,13,,FALSE,4성레어장갑
3130404,13,,FALSE,4성전설장갑
3130405,13,,FALSE,4성신화장갑
3130501,13,,FALSE,5성일반장갑
3130502,13,,FALSE,5성희귀장갑
3130503,13,,FALSE,5성레어장갑
3130504,13,,FALSE,5성전설장갑
3130505,13,,FALSE,5성신화장갑
3140101,14,,FALSE,1성일반갑옷
3140102,14,,FALSE,1성희귀갑옷
3140103,14,,FALSE,1성레어갑옷
3140104,14,,FALSE,1성전설갑옷
3140105,14,,FALSE,1성신화갑옷
3140201,14,,FALSE,2성일반갑옷
3140202,14,,FALSE,2성희귀갑옷
3140203,14,,FALSE,2성레어갑옷
3140204,14,,FALSE,2성전설갑옷
3140205,14,,FALSE,2성신화갑옷
3140301,14,,FALSE,3성일반갑옷
3140302,14,,FALSE,3성희귀갑옷
3140303,14,,FALSE,3성레어갑옷
3140304,14,,FALSE,3성전설갑옷
