장비그룹ID,장비 티어 1,장비 티어 2,장비 티어 3,장비 티어 4,장비 티어 5,가중치 1,가중치 2,가중치 3,가중치 4,가중치 5 ,,
equipmentGroupId,equipmentTier1,equipmentTier2,equipmentTier3,equipmentTier4,equipmentTier5,weight1,weight2,weight3,weight4,weight5,,
int,int,int,int,int,int,int,int,int,int,int,,
8011001,1,2,3,4,5,60,25,10,4,1,,
8011002,2,3,4,5,6,60,25,10,4,1,,
8011003,3,4,5,6,7,60,25,10,4,1,,
8011004,4,5,6,7,8,60,25,10,4,1,,
8011005,5,6,7,8,9,60,25,10,4,1,,
8011006,6,7,8,9,10,60,25,10,4,1,,
8011007,7,8,9,10,11,60,25,10,4,1,,
8011008,8,9,10,11,12,60,25,10,4,1,,
8011009,9,10,11,12,13,60,25,10,4,1,,
8011010,10,11,12,13,14,60,25,10,4,1,,
8011011,11,12,13,14,15,60,25,10,4,1,,
8011012,12,13,14,15,16,60,25,10,4,1,,
8011013,13,14,15,16,17,60,25,10,4,1,,
8011014,14,15,16,17,18,60,25,10,4,1,,
8011015,15,16,17,18,19,60,25,10,4,1,,
8011016,16,17,18,19,20,60,25,10,4,1,,
8011017,17,18,19,20,21,60,25,10,4,1,,
8011018,18,19,20,21,22,60,25,10,4,1,,
8011019,19,20,21,22,23,60,25,10,4,1,,
8011020,20,21,22,23,24,60,25,10,4,1,,
8011021,21,22,23,24,25,60,25,10,4,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
