장비 뽑기 ID,뽑기 레벨 min,뽑기 레벨 max,뽑기 단계,장비 그룹 ID,,,
gachaId,gachaLevelMin,gachaLevelMax,gachaStep,equipmentGroupId,,,
int,int,int,int,int,,,
8000001,1,5,1,8011001,,,
8000002,6,10,2,8011002,,,
8000003,11,15,3,8011003,,,
8000004,16,20,4,8011004,,,
8000005,21,25,5,8011005,,,
8000006,26,30,6,8011006,,,
8000007,31,35,7,8011007,,,
8000008,36,40,8,8011008,,,
8000009,41,45,9,8011009,,,
8000010,46,50,10,8011010,,,
8000011,51,55,11,8011011,,,
8000012,56,60,12,8011012,,,
8000013,61,65,13,8011013,,,
8000014,66,70,14,8011014,,,
8000015,71,75,15,8011015,,,
8000016,76,80,16,8011016,,,
8000017,81,85,17,8011017,,,
8000018,86,90,18,8011018,,,
8000019,91,95,19,8011019,,,
8000020,96,100,20,8011020,,,
8000021,101,105,21,8011021,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
