보너스스탯ID,레벨,공격력,MP,MP 회복,체력,체력 재생,치명타 배율,보스 몬스터 피해량,일반 몬스터 피해량,레벨업 크리스탈 보너스
bonusStatID,level,  bonusAttack,bonusMP,bonusMPRegen,bonusHP,bonusHPRegen,bonusCriticalDamage,bonusBossDamage,bonusNormalDamage,bonusCristal
int,int,int,int,int,int,int,float,float,float,int
1020001,1,10,10,10,10,10,0.1,0.1,0.1,0
1020002,2,10,10,10,10,10,0.1,0.1,0.1,0
1020003,3,10,10,10,10,10,0.1,0.1,0.1,0
1020004,4,10,10,10,10,10,0.1,0.1,0.1,0
1020005,5,10,10,10,10,10,0.1,0.1,0.1,0
1020006,6,10,10,10,10,10,0.1,0.1,0.1,0
1020007,7,10,10,10,10,10,0.1,0.1,0.1,0
1020008,8,10,10,10,10,10,0.1,0.1,0.1,0
1020009,9,10,10,10,10,10,0.1,0.1,0.1,0
1020010,10,10,10,10,10,10,0.1,0.1,0.1,100
1020011,11,10,10,10,10,10,0.1,0.1,0.1,0
1020012,12,10,10,10,10,10,0.1,0.1,0.1,0
1020013,13,10,10,10,10,10,0.1,0.1,0.1,0
1020014,14,10,10,10,10,10,0.1,0.1,0.1,0
1020015,15,10,10,10,10,10,0.1,0.1,0.1,0
1020016,16,10,10,10,10,10,0.1,0.1,0.1,0
1020017,17,10,10,10,10,10,0.1,0.1,0.1,0
1020018,18,10,10,10,10,10,0.1,0.1,0.1,0
1020019,19,10,10,10,10,10,0.1,0.1,0.1,0
1020020,20,10,10,10,10,10,0.1,0.1,0.1,200
1020021,21,10,10,10,10,10,0.1,0.1,0.1,0
1020022,22,10,10,10,10,10,0.1,0.1,0.1,0
1020023,23,10,10,10,10,10,0.1,0.1,0.1,0
1020024,24,10,10,10,10,10,0.1,0.1,0.1,0
1020025,25,10,10,10,10,10,0.1,0.1,0.1,0
1020026,26,10,10,10,10,10,0.1,0.1,0.1,0
1020027,27,10,10,10,10,10,0.1,0.1,0.1,0
1020028,28,10,10,10,10,10,0.1,0.1,0.1,0
1020029,29,10,10,10,10,10,0.1,0.1,0.1,0
1020030,30,10,10,10,10,10,0.1,0.1,0.1,300
1020031,31,10,10,10,10,10,0.1,0.1,0.1,0
1020032,32,10,10,10,10,10,0.1,0.1,0.1,0
1020033,33,10,10,10,10,10,0.1,0.1,0.1,0
1020034,34,10,10,10,10,10,0.1,0.1,0.1,0
1020035,35,10,10,10,10,10,0.1,0.1,0.1,0
1020036,36,10,10,10,10,10,0.1,0.1,0.1,0
1020037,37,10,10,10,10,10,0.1,0.1,0.1,0
1020038,38,10,10,10,10,10,0.1,0.1,0.1,0
1020039,39,10,10,10,10,10,0.1,0.1,0.1,0
1020040,40,10,10,10,10,10,0.1,0.1,0.1,400
1020041,41,10,10,10,10,10,0.1,0.1,0.1,0
1020042,42,10,10,10,10,10,0.1,0.1,0.1,0
1020043,43,10,10,10,10,10,0.1,0.1,0.1,0
1020044,44,10,10,10,10,10,0.1,0.1,0.1,0
1020045,45,10,10,10,10,10,0.1,0.1,0.1,0
1020046,46,10,10,10,10,10,0.1,0.1,0.1,0
1020047,47,10,10,10,10,10,0.1,0.1,0.1,0
1020048,48,10,10,10,10,10,0.1,0.1,0.1,0
1020049,49,10,10,10,10,10,0.1,0.1,0.1,0
1020050,50,10,10,10,10,10,0.1,0.1,0.1,500
1020051,51,10,10,10,10,10,0.1,0.1,0.1,0
1020052,52,10,10,10,10,10,0.1,0.1,0.1,0
1020053,53,10,10,10,10,10,0.1,0.1,0.1,0
1020054,54,10,10,10,10,10,0.1,0.1,0.1,0
1020055,55,10,10,10,10,10,0.1,0.1,0.1,0
1020056,56,10,10,10,10,10,0.1,0.1,0.1,0
1020057,57,10,10,10,10,10,0.1,0.1,0.1,0
1020058,58,10,10,10,10,10,0.1,0.1,0.1,0
1020059,59,10,10,10,10,10,0.1,0.1,0.1,0
1020060,60,10,10,10,10,10,0.1,0.1,0.1,600
1020061,61,10,10,10,10,10,0.1,0.1,0.1,0
1020062,62,10,10,10,10,10,0.1,0.1,0.1,0
1020063,63,10,10,10,10,10,0.1,0.1,0.1,0
1020064,64,10,10,10,10,10,0.1,0.1,0.1,0
1020065,65,10,10,10,10,10,0.1,0.1,0.1,0
1020066,66,10,10,10,10,10,0.1,0.1,0.1,0
1020067,67,10,10,10,10,10,0.1,0.1,0.1,0
1020068,68,10,10,10,10,10,0.1,0.1,0.1,0
1020069,69,10,10,10,10,10,0.1,0.1,0.1,0
1020070,70,10,10,10,10,10,0.1,0.1,0.1,700
1020071,71,10,10,10,10,10,0.1,0.1,0.1,0
1020072,72,10,10,10,10,10,0.1,0.1,0.1,0
1020073,73,10,10,10,10,10,0.1,0.1,0.1,0
1020074,74,10,10,10,10,10,0.1,0.1,0.1,0
1020075,75,10,10,10,10,10,0.1,0.1,0.1,0
1020076,76,10,10,10,10,10,0.1,0.1,0.1,0
1020077,77,10,10,10,10,10,0.1,0.1,0.1,0
1020078,78,10,10,10,10,10,0.1,0.1,0.1,0
1020079,79,10,10,10,10,10,0.1,0.1,0.1,0
1020080,80,10,10,10,10,10,0.1,0.1,0.1,800
1020081,81,10,10,10,10,10,0.1,0.1,0.1,0
1020082,82,10,10,10,10,10,0.1,0.1,0.1,0
1020083,83,10,10,10,10,10,0.1,0.1,0.1,0
1020084,84,10,10,10,10,10,0.1,0.1,0.1,0
1020085,85,10,10,10,10,10,0.1,0.1,0.1,0
1020086,86,10,10,10,10,10,0.1,0.1,0.1,0
1020087,87,10,10,10,10,10,0.1,0.1,0.1,0
1020088,88,10,10,10,10,10,0.1,0.1,0.1,0
1020089,89,10,10,10,10,10,0.1,0.1,0.1,0
1020090,90,10,10,10,10,10,0.1,0.1,0.1,900
1020091,91,10,10,10,10,10,0.1,0.1,0.1,0
1020092,92,10,10,10,10,10,0.1,0.1,0.1,0
1020093,93,10,10,10,10,10,0.1,0.1,0.1,0
1020094,94,10,10,10,10,10,0.1,0.1,0.1,0
1020095,95,10,10,10,10,10,0.1,0.1,0.1,0
1020096,96,10,10,10,10,10,0.1,0.1,0.1,0
1020097,97,10,10,10,10,10,0.1,0.1,0.1,0
1020098,98,10,10,10,10,10,0.1,0.1,0.1,0
1020099,99,10,10,10,10,10,0.1,0.1,0.1,0
1020100,100,10,10,10,10,10,0.1,0.1,0.1,1000
