플레이어 레벨 ID,플레이어 레벨,레벨업 필요 경험치
ID,playerLevel,reqExp
int,int,BigDouble
1510001,1,100
1510002,2,300
1510003,3,540
1510004,4,828
1510005,5,1173.6
1510006,6,1588.32
1510007,7,2085.984
1510008,8,2683.1808
1510009,9,3399.81696
1510010,10,4259.780352
1510011,11,5291.736422
1510012,12,6530.083707
1510013,13,8016.100448
1510014,14,9799.320538
1510015,15,11939.18465
1510016,16,14507.02157
1510017,17,17588.42589
1510018,18,21286.11107
1510019,19,25723.33328
1510020,20,31047.99994
1510021,21,37437.59992
1510022,22,45105.11991
1510023,23,54306.14389
1510024,24,65347.37267
1510025,25,78596.8472
1510026,26,94496.21664
1510027,27,113575.46
1510028,28,136470.552
1510029,29,163944.6624
1510030,30,196913.5948
1510031,31,236476.3138
1510032,32,283951.5766
1510033,33,340921.8919
1510034,34,409286.2702
1510035,35,491323.5243
1510036,36,589768.2292
1510037,37,707901.875
1510038,38,849662.25
1510039,39,1019774.7
1510040,40,1223909.64
1510041,41,1468871.568
1510042,42,1762825.882
1510043,43,2115571.058
1510044,44,2538865.269
1510045,45,3046818.323
1510046,46,3656361.988
1510047,47,4387814.386
1510048,48,5265557.263
1510049,49,6318848.715
1510050,50,7582798.458
1510051,51,9099538.15
1510052,52,10919625.78
1510053,53,13103730.94
1510054,54,15724657.12
1510055,55,18869768.55
1510056,56,22643902.26
1510057,57,27172862.71
1510058,58,32607615.25
1510059,59,39129318.3
1510060,60,46955361.96
1510061,61,56346614.35
1510062,62,67616117.22
1510063,63,81139520.67
1510064,64,97367604.8
1510065,65,116841305.8
1510066,66,140209746.9
1510067,67,168251876.3
1510068,68,201902431.6
1510069,69,242283097.9
1510070,70,290739897.4
1510071,71,348888056.9
1510072,72,418665848.3
1510073,73,502399198
1510074,74,602879217.6
1510075,75,723455241.1
1510076,76,868146469.3
1510077,77,1041775943
1510078,78,1250131312
1510079,79,1500157754
1510080,80,1800189485
1510081,81,2160227562
1510082,82,2592273254
1510083,83,3110728085
1510084,84,3732873882
1510085,85,4479448839
1510086,86,5375338787
1510087,87,6450406724
1510088,88,7740488249
1510089,89,9288586078
1510090,90,11146303474
1510091,91,13375564349
1510092,92,16050677399
1510093,93,19260813058
1510094,94,23112975850
1510095,95,27735571200
1510096,96,33282685620
1510097,97,39939222924
1510098,98,47927067689
1510099,99,57512481407
1510100,100,69014977868
1510101,101,82817973622
1510102,102,99381568526
1510103,103,119257882412
1510104,104,143109459074
1510105,105,171731351069
1510106,106,206077621463
1510107,107,247293145935
1510108,108,296751775302
1510109,109,356102130543
1510110,110,427322556831
1510111,111,512787068377
1510112,112,615344482233
1510113,113,738413378859
1510114,114,886096054811
1510115,115,1063315265954
1510116,116,1275978319324
1510117,117,1531173983369
1510118,118,1837408780223
1510119,119,2204890536447
