퀘스트 ID,퀘스트 내용,퀘스트 번호,퀘스트 타입,시행 횟수,퀘스트 제목,보상 그룹 ID
ID,desc,questNum,questType,reqCount,questTitle,rewardGroupID
int,string,int,enum,int,string,int
7010001,몬스터 처치,1,1,5,questTitle_1,7210001
7010002,몬스터 처치,2,1,5,questTitle_1,7210002
7010003,몬스터 처치,3,1,5,questTitle_1,7210003
7010004,몬스터 처치,4,1,5,questTitle_1,7210004
7010005,몬스터 처치,5,1,5,questTitle_1,7210005
7010006,몬스터 처치,6,1,5,questTitle_1,7210006
7010007,몬스터 처치,7,1,5,questTitle_1,7210007
7010008,몬스터 처치,8,1,5,questTitle_1,7210008
7010009,몬스터 처치,9,1,5,questTitle_1,7210009
7010010,몬스터 처치,10,1,5,questTitle_1,7210010
7010011,몬스터 처치,11,1,5,questTitle_1,7210011
7010012,몬스터 처치,12,1,5,questTitle_1,7210012
7010013,몬스터 처치,13,1,5,questTitle_1,7210013
7010014,몬스터 처치,14,1,5,questTitle_1,7210014
7010015,몬스터 처치,15,1,5,questTitle_1,7210015
7010016,몬스터 처치,16,1,5,questTitle_1,7210016
7010017,몬스터 처치,17,1,5,questTitle_1,7210017
7010018,몬스터 처치,18,1,5,questTitle_1,7210018
7010019,몬스터 처치,19,1,5,questTitle_1,7210019
7010020,몬스터 처치,20,1,5,questTitle_1,7210020
7010021,몬스터 처치,21,1,5,questTitle_1,7210021
7010022,몬스터 처치,22,1,5,questTitle_1,7210022
7010023,몬스터 처치,23,1,5,questTitle_1,7210023
7010024,몬스터 처치,24,1,5,questTitle_1,7210024
7010025,몬스터 처치,25,1,5,questTitle_1,7210025
7010026,몬스터 처치,26,1,5,questTitle_1,7210026
7010027,몬스터 처치,27,1,5,questTitle_1,7210027
7010028,몬스터 처치,28,1,5,questTitle_1,7210028
7010029,몬스터 처치,29,1,5,questTitle_1,7210029
7010030,몬스터 처치,30,1,5,questTitle_1,7210030
7010031,몬스터 처치,31,1,5,questTitle_1,7210031
7010032,몬스터 처치,32,1,5,questTitle_1,7210032
7010033,몬스터 처치,33,1,5,questTitle_1,7210033
7010034,몬스터 처치,34,1,5,questTitle_1,7210034
7010035,몬스터 처치,35,1,5,questTitle_1,7210035
7010036,몬스터 처치,36,1,5,questTitle_1,7210036
7010037,몬스터 처치,37,1,5,questTitle_1,7210037
7010038,몬스터 처치,38,1,5,questTitle_1,7210038
7010039,몬스터 처치,39,1,5,questTitle_1,7210039
7010040,몬스터 처치,40,1,5,questTitle_1,7210040
7010041,몬스터 처치,41,1,5,questTitle_1,7210041
7010042,몬스터 처치,42,1,5,questTitle_1,7210042
7010043,몬스터 처치,43,1,5,questTitle_1,7210043
7010044,몬스터 처치,44,1,5,questTitle_1,7210044
7010045,몬스터 처치,45,1,5,questTitle_1,7210045
7010046,몬스터 처치,46,1,5,questTitle_1,7210046
7010047,몬스터 처치,47,1,5,questTitle_1,7210047
7010048,몬스터 처치,48,1,5,questTitle_1,7210048
7010049,몬스터 처치,49,1,5,questTitle_1,7210049
7010050,몬스터 처치,50,1,5,questTitle_1,7210050
7010051,몬스터 처치,51,1,5,questTitle_1,7210051
7010052,몬스터 처치,52,1,5,questTitle_1,7210052
7010053,몬스터 처치,53,1,5,questTitle_1,7210053
7010054,몬스터 처치,54,1,5,questTitle_1,7210054
7010055,몬스터 처치,55,1,5,questTitle_1,7210055
