고유 키,아이템 키 참조여부,스킬ID 참조여부,"모듈4 타입 (pull=0, push=1, shadow=2, impact= 3)",시전 범위1,시전 시간,사운드 경로,VFX 경로,VFX2 경로,주석
m4ID,m4ItemID,skillID,m4Type,m4Distance,m4Duration,m4Sound,m4VFX,m4VFX2,desc
int,int,int,enum,float,float,string,string,string,string
4040001,3230001,4000001,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,잔영 베기
4040002,3230002,4000001,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,잔영 베기
4040003,3230003,4000001,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,잔영 베기
4040004,3230004,4000001,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,잔영 베기
4040005,3230005,4000002,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,환상 비수
4040006,3230006,4000002,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,환상 비수
4040007,3230007,4000002,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,환상 비수
4040008,3230008,4000002,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,환상 비수
4040009,3230009,4000003,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,칼날 폭풍
4040010,3230010,4000003,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,칼날 폭풍
4040011,3230011,4000003,2,6,0.9,Assets/02. Sound/Skill/gemsound_4040003,Assets/02. Prefabs/Skill/gemvfx_4040001.prefab,Assets/02. Prefabs/Skill/gemvfx2_4040002.prefab,칼날 폭풍
4040012,3230012,4000003,3,6.5,0.8,Assets/02. Sound/Skill/gemsound_4040004,0,0,칼날 폭풍
4040013,3230013,4000004,0,5,1.1,Assets/02. Sound/Skill/gemsound_4040001,0,0,공중 낙하
4040014,3230014,4000004,1,5.5,1,Assets/02. Sound/Skill/gemsound_4040002,0,0,공중 낙하
