스테이지 ID,스테이지 정보,스테이지 타입,스테이지 레벨,층,씬,스테이지명 스트링 키,보스를 소환하기 위한 몬스터 처치 수,드랍 테이블,일반 몬스터 경험치,보스 몬스터 경험치,몬스터 스폰 그룹,맵 오브젝트,몬스터 성장 id
stageID,desc,stageType,stageLevel,floorNumber,sceneNumber,stageName,monsterKillCount,dropTableID,commonMonsterExp,bossMonsterExp,monsterSpawnGroup,mapObject,monsterGrowthid
int,string,enum,int,int,int,string,int,int,int,int,int,string,int
6010001,일반 스테이지,1,1,1,1,일반 스테이지,40,6510001,2,10,1,theme01,2310001
6010002,일반 스테이지,1,2,1,2,일반 스테이지,40,6510002,2,11,1,theme01,2310002
6010003,일반 스테이지,1,3,1,3,일반 스테이지,40,6510003,2,11,1,theme01,2310003
6010004,일반 스테이지,1,4,1,4,일반 스테이지,40,6510004,2,12,1,theme01,2310004
6010005,일반 스테이지,1,5,1,5,일반 스테이지,40,6510005,2,12,1,theme01,2310005
6010006,일반 스테이지,1,6,1,6,일반 스테이지,40,6510006,3,13,1,theme01,2310006
6010007,일반 스테이지,1,7,1,7,일반 스테이지,40,6510007,3,13,1,theme01,2310007
6010008,일반 스테이지,1,8,1,8,일반 스테이지,40,6510008,3,14,1,theme01,2310008
6010009,일반 스테이지,1,9,1,9,일반 스테이지,40,6510009,3,15,1,theme01,2310009
6010010,일반 스테이지,1,10,1,10,일반 스테이지,40,6510010,3,16,1,theme01,2310010
6010011,일반 스테이지,1,11,1,11,일반 스테이지,40,6510011,3,16,2,theme01,2310011
6010012,일반 스테이지,1,12,1,12,일반 스테이지,40,6510012,3,17,2,theme01,2310012
6010013,일반 스테이지,1,13,1,13,일반 스테이지,40,6510013,4,18,2,theme01,2310013
6010014,일반 스테이지,1,14,1,14,일반 스테이지,40,6510014,4,19,2,theme01,2310014
6010015,일반 스테이지,1,15,1,15,일반 스테이지,40,6510015,4,20,2,theme01,2310015
6010016,일반 스테이지,1,16,1,16,일반 스테이지,40,6510016,4,21,2,theme01,2310016
6010017,일반 스테이지,1,17,1,17,일반 스테이지,40,6510017,4,22,2,theme01,2310017
6010018,일반 스테이지,1,18,1,18,일반 스테이지,40,6510018,5,23,2,theme01,2310018
6010019,일반 스테이지,1,19,1,19,일반 스테이지,40,6510019,5,24,2,theme01,2310019
6010020,일반 스테이지,1,20,1,20,일반 스테이지,40,6510020,5,25,2,theme01,2310020
6010021,일반 스테이지,1,21,2,1,일반 스테이지,40,6510021,5,27,3,theme02,2310021
6010022,일반 스테이지,1,22,2,2,일반 스테이지,40,6510022,6,28,3,theme02,2310022
6010023,일반 스테이지,1,23,2,3,일반 스테이지,40,6510023,6,29,3,theme02,2310023
6010024,일반 스테이지,1,24,2,4,일반 스테이지,40,6510024,6,31,3,theme02,2310024
6010025,일반 스테이지,1,25,2,5,일반 스테이지,40,6510025,6,32,3,theme02,2310025
6010026,일반 스테이지,1,26,2,6,일반 스테이지,40,6510026,7,34,3,theme02,2310026
6010027,일반 스테이지,1,27,2,7,일반 스테이지,40,6510027,7,36,3,theme02,2310027
6010028,일반 스테이지,1,28,2,8,일반 스테이지,40,6510028,7,37,3,theme02,2310028
