던전 ID,스테이지 타입,입장권 아이템 ID,해금 조건 스테이지
dungeonID,stageType,ItemID,stageID01
int,enum,int,int
6021001,2,3831001,6010020
6021002,2,3831001,6021001
6021003,2,3831001,6021002
6021004,2,3831001,6021003
6021005,2,3831001,6021004
6021006,2,3831001,6021005
6021007,2,3831001,6021006
6021008,2,3831001,6021007
6021009,2,3831001,6021008
6021010,2,3831001,6021009
6021011,2,3831001,6021010
6021012,2,3831001,6021011
6021013,2,3831001,6021012
6021014,2,3831001,6021013
6021015,2,3831001,6021014
6021016,2,3831001,6021015
6022001,3,3831002,6010020
6022002,3,3831002,6022001
6022003,3,3831002,6022002
6022004,3,3831002,6022003
6022005,3,3831002,6022004
6022006,3,3831002,6022005
6022007,3,3831002,6022006
6022008,3,3831002,6022007
6022009,3,3831002,6022008
6022010,3,3831002,6022009
6022011,3,3831002,6022010
6022012,3,3831002,6022011
6022013,3,3831002,6022012
6022014,3,3831002,6022013
6022015,3,3831002,6022014
6022016,3,3831002,6022015
6023001,4,3831003,6010020
6023002,4,3831003,6023001
6023003,4,3831003,6023002
6023004,4,3831003,6023003
6023005,4,3831003,6023004
6023006,4,3831003,6023005
6023007,4,3831003,6023006
6023008,4,3831003,6023007
6023009,4,3831003,6023008
6023010,4,3831003,6023009
6023011,4,3831003,6023010
6023012,4,3831003,6023011
6023013,4,3831003,6023012
6023014,4,3831003,6023013
6023015,4,3831003,6023014
6023016,4,3831003,6023015
6024001,5,3831004,6010020
6024002,5,3831004,6024001
6024003,5,3831004,6024002
6024004,5,3831004,6024003
6024005,5,3831004,6024004
6024006,5,3831004,6024005
6024007,5,3831004,6024006
6024008,5,3831004,6024007
6024009,5,3831004,6024008
6024010,5,3831004,6024009
6024011,5,3831004,6024010
6024012,5,3831004,6024011
6024013,5,3831004,6024012
6024014,5,3831004,6024013
6024015,5,3831004,6024014
6024016,5,3831004,6024015





































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































