장비드랍ID,스테이지 레벨,최저 장비 티어,장비 티어 가중치 01,장비 티어 가중치 02,장비 티어 가중치 03,장비 티어 가중치 04
equipmentDropID,stageLevel,BaseEquipmentTier,EquipmentTierWeight01,EquipmentTierWeight02,EquipmentTierWeight03,EquipmentTierWeight04
int,int,int,int,int,int,int
6520001,1,1,800,150,40,10
6520002,2,1,800,150,40,10
6520003,3,1,800,150,40,10
6520004,4,2,800,150,40,10
6520005,5,2,800,150,40,10
6520006,6,2,800,150,40,10
6520007,7,3,800,150,40,10
6520008,8,3,800,150,40,10
6520009,9,3,800,150,40,10
6520010,10,4,800,150,40,10
6520011,11,4,800,150,40,10
6520012,12,4,800,150,40,10
6520013,13,5,800,150,40,10
6520014,14,5,800,150,40,10
6520015,15,5,800,150,40,10
6520016,16,6,800,150,40,10
6520017,17,6,800,150,40,10
6520018,18,6,800,150,40,10
6520019,19,7,800,150,40,10
6520020,20,7,800,150,40,10
6520021,21,7,800,150,40,10
6520022,22,8,800,150,40,10
6520023,23,8,800,150,40,10
6520024,24,8,800,150,40,10
6520025,25,9,800,150,40,10
6520026,26,9,800,150,40,10
6520027,27,9,800,150,40,10
6520028,28,10,800,150,40,10
6520029,29,10,800,150,40,10
6520030,30,10,800,150,40,10
6520031,31,11,800,150,40,10
6520032,32,11,800,150,40,10
6520033,33,11,800,150,40,10
6520034,34,12,800,150,40,10
6520035,35,12,800,150,40,10
6520036,36,12,800,150,40,10
6520037,37,13,800,150,40,10
6520038,38,13,800,150,40,10
6520039,39,13,800,150,40,10
6520040,40,14,800,150,40,10
6520041,41,14,800,150,40,10
6520042,42,14,800,150,40,10
6520043,43,15,800,150,40,10
6520044,44,15,800,150,40,10
6520045,45,15,800,150,40,10
6520046,46,16,800,150,40,10
6520047,47,16,800,150,40,10
6520048,48,16,800,150,40,10
6520049,49,17,800,150,40,10
6520050,50,17,800,150,40,10
6520051,51,17,800,150,40,10
6520052,52,18,800,150,40,10
6520053,53,18,800,150,40,10
6520054,54,18,800,150,40,10
6520055,55,19,800,150,40,10
6520056,56,19,800,150,40,10
6520057,57,19,800,150,40,10
6520058,58,20,800,150,40,10
6520059,59,20,800,150,40,10
6520060,60,20,800,150,40,10
6520061,61,21,800,150,40,10
6520062,62,21,800,150,40,10
6520063,63,21,800,150,40,10
6520064,64,22,800,150,40,10
6520065,65,22,800,150,40,10
6520066,66,22,800,150,40,10
6520067,67,22,800,150,40,10
6520068,68,22,800,150,40,10
6520069,69,22,800,150,40,10
6520070,70,22,800,150,40,10
6520071,71,22,800,150,40,10
6520072,72,22,800,150,40,10
6520073,73,22,800,150,40,10
6520074,74,22,800,150,40,10
6520075,75,22,800,150,40,10
6520076,76,22,800,150,40,10
6520077,77,22,800,150,40,10
6520078,78,22,800,150,40,10
6520079,79,22,800,150,40,10
6520080,80,22,800,150,40,10
6520081,81,22,800,150,40,10
6520082,82,22,800,150,40,10
6520083,83,22,800,150,40,10
6520084,84,22,800,150,40,10
6520085,85,22,800,150,40,10
6520086,86,22,800,150,40,10
6520087,87,22,800,150,40,10
6520088,88,22,800,150,40,10
6520089,89,22,800,150,40,10
6520090,90,22,800,150,40,10
6520091,91,22,800,150,40,10
6520092,92,22,800,150,40,10
6520093,93,22,800,150,40,10
6520094,94,22,800,150,40,10
6520095,95,22,800,150,40,10
6520096,96,22,800,150,40,10
6520097,97,22,800,150,40,10
6520098,98,22,800,150,40,10
6520099,99,22,800,150,40,10
6520100,100,22,800,150,40,10
6520101,101,22,800,150,40,10
6520102,102,22,800,150,40,10
6520103,103,22,800,150,40,10
6520104,104,22,800,150,40,10
6520105,105,22,800,150,40,10
6520106,106,22,800,150,40,10
6520107,107,22,800,150,40,10
6520108,108,22,800,150,40,10
6520109,109,22,800,150,40,10
6520110,110,22,800,150,40,10
6520111,111,22,800,150,40,10
6520112,112,22,800,150,40,10
6520113,113,22,800,150,40,10
6520114,114,22,800,150,40,10
6520115,115,22,800,150,40,10
6520116,116,22,800,150,40,10
6520117,117,22,800,150,40,10
6520118,118,22,800,150,40,10
6520119,119,22,800,150,40,10
6520120,120,22,800,150,40,10
6520121,121,22,800,150,40,10
6520122,122,22,800,150,40,10
6520123,123,22,800,150,40,10
6520124,124,22,800,150,40,10
6520125,125,22,800,150,40,10
6520126,126,22,800,150,40,10
6520127,127,22,800,150,40,10
6520128,128,22,800,150,40,10
6520129,129,22,800,150,40,10
6520130,130,22,800,150,40,10
6520131,131,22,800,150,40,10
6520132,132,22,800,150,40,10
6520133,133,22,800,150,40,10
6520134,134,22,800,150,40,10
6520135,135,22,800,150,40,10
6520136,136,22,800,150,40,10
6520137,137,22,800,150,40,10
6520138,138,22,800,150,40,10
6520139,139,22,800,150,40,10
6520140,140,22,800,150,40,10
6520141,141,22,800,150,40,10
6520142,142,22,800,150,40,10
6520143,143,22,800,150,40,10
6520144,144,22,800,150,40,10
6520145,145,22,800,150,40,10
6520146,146,22,800,150,40,10
6520147,147,22,800,150,40,10
6520148,148,22,800,150,40,10
6520149,149,22,800,150,40,10
6520150,150,22,800,150,40,10
6520151,151,22,800,150,40,10
6520152,152,22,800,150,40,10
6520153,153,22,800,150,40,10
6520154,154,22,800,150,40,10
6520155,155,22,800,150,40,10
6520156,156,22,800,150,40,10
6520157,157,22,800,150,40,10
6520158,158,22,800,150,40,10
6520159,159,22,800,150,40,10
6520160,160,22,800,150,40,10
6520161,161,22,800,150,40,10
6520162,162,22,800,150,40,10
6520163,163,22,800,150,40,10
6520164,164,22,800,150,40,10
6520165,165,22,800,150,40,10
6520166,166,22,800,150,40,10
6520167,167,22,800,150,40,10
6520168,168,22,800,150,40,10
6520169,169,22,800,150,40,10
6520170,170,22,800,150,40,10
6520171,171,22,800,150,40,10
6520172,172,22,800,150,40,10
6520173,173,22,800,150,40,10
6520174,174,22,800,150,40,10
6520175,175,22,800,150,40,10
6520176,176,22,800,150,40,10
6520177,177,22,800,150,40,10
6520178,178,22,800,150,40,10
6520179,179,22,800,150,40,10
6520180,180,22,800,150,40,10
6520181,181,22,800,150,40,10
6520182,182,22,800,150,40,10
6520183,183,22,800,150,40,10
6520184,184,22,800,150,40,10
6520185,185,22,800,150,40,10
6520186,186,22,800,150,40,10
6520187,187,22,800,150,40,10
6520188,188,22,800,150,40,10
6520189,189,22,800,150,40,10
6520190,190,22,800,150,40,10
6520191,191,22,800,150,40,10
6520192,192,22,800,150,40,10
6520193,193,22,800,150,40,10
6520194,194,22,800,150,40,10
6520195,195,22,800,150,40,10
6520196,196,22,800,150,40,10
6520197,197,22,800,150,40,10
6520198,198,22,800,150,40,10
6520199,199,22,800,150,40,10
6520200,200,22,800,150,40,10
