장비 뽑기 ID,뽑기 단계,뽑기 레벨 min,뽑기 레벨 max,장비 그룹 ID
gachaId,gachaStep,gachaLevelMin,gachaLevelMax,equipmentGroupId
int,int,int,int,int
8000001,1,1,5,8011001
8000002,2,6,10,8011002
8000003,3,11,15,8011003
8000004,4,16,20,8011004
8000005,5,21,25,8011005
8000006,6,26,30,8011006
8000007,7,31,35,8011007
8000008,8,36,40,8011008
8000009,9,41,45,8011009
8000010,10,46,50,8011010
8000011,11,51,55,8011011
8000012,12,56,60,8011012
8000013,13,61,65,8011013
8000014,14,66,70,8011014
8000015,15,71,75,8011015
8000016,16,76,80,8011016
8000017,17,81,85,8011017
8000018,18,86,90,8011018
8000019,19,91,95,8011019
8000020,20,96,100,8011020
8000021,21,101,105,8011021
