스킬 뽑기 ID,뽑기 레벨,1개 등장 가중치,2개 등장 가중치,3개 등장 가중치,4개 등장 가중치,5개 등장 가중치,10개 등장 가중치,20개 등장 가중치,30개 등장 가중치
gachaId,gachaLevel,weight1,weight2,weight3,weight4,weight5,weight10,weight20,weight30
int,int,int,int,int,int,int,int,int,int
8020001,1,3089,2563,2038,1513,791,3,2,1
8020002,2,3067,2548,2029,1510,840,3,2,1
8020003,3,3044,2532,2019,1506,893,3,2,1
8020004,4,3022,2516,2010,1503,943,3,2,1
8020005,5,3000,2500,2000,1500,994,3,2,1
8020006,6,2978,2484,1990,1497,1003,45,2,1
8020007,7,2956,2468,1981,1494,1006,92,2,1
8020008,8,2933,2452,1971,1490,1010,141,2,1
8020009,9,2911,2437,1962,1487,1013,187,2,1
8020010,10,2889,2421,1952,1484,1016,235,2,1
8020011,11,2867,2405,1943,1481,1019,282,2,1
8020012,12,2844,2389,1933,1478,1022,331,2,1
8020013,13,2822,2373,1924,1475,1025,378,2,1
8020014,14,2800,2357,1914,1471,1029,426,2,1
8020015,15,2778,2341,1905,1468,1032,473,2,1
8020016,16,2756,2325,1895,1465,1035,521,2,1
8020017,17,2733,2310,1886,1462,1038,568,2,1
8020018,18,2711,2294,1876,1459,1041,616,2,1
8020019,19,2689,2278,1867,1456,1044,633,32,1
8020020,20,2667,2262,1857,1452,1048,643,70,1
8020021,21,2644,2246,1848,1449,1051,652,109,1
8020022,22,2622,2230,1838,1446,1054,662,147,1
8020023,23,2600,2214,1829,1443,1057,671,185,1
8020024,24,2578,2198,1819,1440,1060,681,223,1
8020025,25,2556,2183,1810,1437,1063,690,260,1
8020026,26,2533,2167,1800,1433,1067,700,299,1
8020027,27,2511,2151,1790,1430,1070,710,337,1
8020028,28,2489,2135,1781,1427,1073,719,365,11
8020029,29,2467,2119,1771,1424,1076,729,381,33
8020030,30,2444,2103,1762,1421,1079,738,397,56
8020031,31,2422,2087,1752,1417,1083,748,413,78
8020032,32,2400,2071,1743,1414,1086,757,429,100
8020033,33,2378,2056,1733,1411,1089,767,444,122
8020034,34,2356,2040,1724,1408,1092,776,460,144
8020035,35,2333,2024,1714,1405,1095,786,476,167
8020036,36,2311,2008,1705,1402,1098,795,492,189
8020037,37,2289,1992,1695,1398,1102,805,508,211
8020038,38,2267,1976,1686,1395,1105,814,524,233
8020039,39,2244,1960,1676,1392,1108,824,540,256
8020040,40,2222,1944,1667,1389,1111,833,556,278
8020041,41,2211,1937,1662,1387,1113,838,563,289
8020042,42,2200,1929,1657,1386,1114,843,571,300
8020043,43,2189,1921,1652,1384,1116,848,579,311
8020044,44,2178,1913,1648,1383,1117,852,587,322
8020045,45,2167,1905,1643,1381,1119,857,595,333
8020046,46,2156,1897,1638,1379,1121,862,603,344
