골드 보상 ID,스테이지 레벨,보상되는 골드량
goldRewardId,stageLevel,rewardGold
int,int,bigdouble
6521001,20,#REF!
6521002,25,#REF!
6521003,30,#REF!
6521004,35,#REF!
6521005,40,#REF!
6521006,45,#REF!
6521007,50,#REF!
6521008,55,#REF!
6521009,60,#REF!
6521010,65,#REF!
6521011,70,#REF!
6521012,75,#REF!
6521013,80,#REF!
6521014,85,#REF!
6521015,90,#REF!
6521016,95,#REF!
6521017,100,#REF!
6521018,105,#REF!
6521019,110,#REF!

















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































