경험치 보상 ID,스테이지 레벨,보상되는 경험치
expRewardId,stageLevel,rewardExp
int,int,bigdouble
6522001,20,9097.020703
6522002,25,11610.3598
6522003,30,14818.08814
6522004,35,18912.05269
6522005,40,24137.10416
6522006,45,30805.74101
6522007,50,39316.79927
6522008,55,50179.306
6522009,60,64042.92307
6522010,65,81736.80192
6522011,70,104319.1733
6522012,75,133140.6375
6522013,80,169924.9408
6522014,85,216872.069
6522015,90,276789.823
6522016,95,353261.7478










































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































