드랍테이블 ID,스테이지 레벨,골드 드랍,장비 드랍 id,장비 드랍 확률(%),픽시조각 드랍 확률(%),스킬 주문서 드랍 확률(%),스킬 잼 드랍 확률(%),입장권 드랍 확률(%),빙고 일반 링크 드랍 확률,빙고 희귀 링크 드랍 확률,빙고 영웅 링크 드랍 확률,빙고 전설 링크 드랍 확률,빙고 신화 링크 드랍 확률,당기기 아이템 A드랍 확률,빙고 아이템 B드랍 확률,시너지 (일반),시너지 (희귀),시너지 (영웅),시너지 (전설),시너지 (신화)
dropTableID,stageLevel,dropGold,equipmentDropID,equipmentRate,fairyPieceRate,scrollRate,gemRate,keyRate,link_0,link_1,link_2,link_3,link_4,bingoItem_A,bingoItem_B,synergy_0,synergy_1,synergy_2,synergy_3,synergy_4
int,int,BigDouble,int,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
6510001,1,50,6520001,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510002,2,58,6520002,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510003,3,66,6520003,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510004,4,76,6520004,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510005,5,87,6520005,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510006,6,101,6520006,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510007,7,116,6520007,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510008,8,133,6520008,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510009,9,153,6520009,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510010,10,176,6520010,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510011,11,202,6520011,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510012,12,233,6520012,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510013,13,268,6520013,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510014,14,308,6520014,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510015,15,354,6520015,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510016,16,407,6520016,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510017,17,468,6520017,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510018,18,538,6520018,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510019,19,619,6520019,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510020,20,712,6520020,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510021,21,818,6520021,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510022,22,941,6520022,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510023,23,1082,6520023,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510024,24,1245,6520024,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510025,25,1431,6520025,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
6510026,26,1646,6520026,5,0.01,0.005,0.001,0.001,0.01,0.005,0.001,0.0005,0.0001,0.005,0.001,0.01,0.005,0.001,0.0005,0.0001
