몬스터 성장 ID,스테이지 레벨,공격력 배율,공격속도 배율,체력 배율
monsterGrowthID,stageLevelScale,monsterAttScale,monsterAttsScale,monsterHPScale
int,int,float,float,float
2310001,1,1.1,1,1.1
2310002,2,1.1,1,1.1
2310003,3,1.1,1,1.1
2310004,4,1.1,1,1.1
2310005,5,1.1,1,1.1
2310006,6,1.1,1,1.1
2310007,7,1.1,1,1.1
2310008,8,1.1,1,1.1
2310009,9,1.1,1,1.1
2310010,10,1.1,1,1.1
2310011,11,1.1,1,1.1
2310012,12,1.1,1,1.1
2310013,13,1.1,1,1.1
2310014,14,1.1,1,1.1
2310015,15,1.1,1,1.1
2310016,16,1.1,1,1.1
2310017,17,1.1,1,1.1
2310018,18,1.1,1,1.1
2310019,19,1.1,1,1.1
2310020,20,1.1,1,1.1
2310021,21,1.1,1,1.1
2310022,22,1.1,1,1.1
2310023,23,1.1,1,1.1
2310024,24,1.1,1,1.1
2310025,25,1.1,1,1.1
2310026,26,1.1,1,1.1
2310027,27,1.1,1,1.1
2310028,28,1.1,1,1.1
2310029,29,1.1,1,1.1
2310030,30,1.1,1,1.1
2310031,31,1.1,1,1.1
2310032,32,1.1,1,1.1
2310033,33,1.1,1,1.1
2310034,34,1.1,1,1.1
2310035,35,1.1,1,1.1
2310036,36,1.1,1,1.1
2310037,37,1.1,1,1.1
2310038,38,1.1,1,1.1
2310039,39,1.1,1,1.1
2310040,40,1.1,1,1.1
2310041,41,1.1,1,1.1
2310042,42,1.1,1,1.1
2310043,43,1.1,1,1.1
2310044,44,1.1,1,1.1
2310045,45,1.1,1,1.1
2310046,46,1.1,1,1.1
2310047,47,1.1,1,1.1
2310048,48,1.1,1,1.1
2310049,49,1.1,1,1.1
2310050,50,1.1,1,1.1
2310051,51,1.1,1,1.1
2310052,52,1.1,1,1.1
2310053,53,1.1,1,1.1
2310054,54,1.1,1,1.1
2310055,55,1.1,1,1.1
2310056,56,1.1,1,1.1
2310057,57,1.1,1,1.1
