스킬 고유 키,스킬 스크롤 정보,모듈1 정보,모듈2 정보,모듈3 정보,스킬 마나 소모량,기본 데미지,추가 수치 데미지 (0.01=1%),스킬명(스트링),스킬툴팁(스트링),시전 사거리,스킬 쿨타임,스킬 타입(basicSkill=0, ultimateSkill=1),VFX 경로,사운드 경로,스킬 아이콘 경로,주석
skillID,skillScrollID,m1ID,m2ID,m3ID,manaCost,skillDamage,skillDamageValue,skillName,skillDesc,skillRange,skillCooldown,skillType,skillVFX,skillSound,skillIcon,desc
int,int,int,int,int,float,float,float,string,string,float,float,enum,string,string,string,string
4000001,3210001,4010001,4020001,4030001,30,100,0.6,SKILL_NAME_01,SKILL_DESC_01,20,3,0,Assets/02. Prefabs/Skill/skillvfx_4000001.prefab,Assets/00. resources/Sound/SFX/skillsound_4000001,Assets/Resources/Icons/SkillIcon/skillicon_4000001.png,잔영 베기
4000002,3210002,4010002,4020002,4030002,30,100,0.6,SKILL_NAME_02,SKILL_DESC_02,10,3,0,Assets/02. Prefabs/Skill/skillvfx_4000002.prefab,Assets/00. resources/Sound/SFX/skillsound_4000002,Assets/Resources/Icons/SkillIcon/skillicon_4000002.png,환상 비수
4000003,3210003,4010003,4020003,4030003,30,100,0.6,SKILL_NAME_03,SKILL_DESC_03,5,3,0,Assets/02. Prefabs/Skill/skillvfx_4000003.prefab,Assets/00. resources/Sound/SFX/skillsound_4000003,Assets/Resources/Icons/SkillIcon/skillicon_4000003.png,칼날 폭풍
4000004,3210004,4010004,4020004,4030004,30,100,0.6,SKILL_NAME_04,SKILL_DESC_04,10,3,0,0,Assets/00. resources/Sound/SFX/skillsound_4000004,Assets/Resources/Icons/SkillIcon/skillicon_4000004.png,공중 낙하
4000005,3210005,4010005,4020005,4030005,30,100,0.6,SKILL_NAME_05,SKILL_DESC_05,10,3,0,0,Assets/00. resources/Sound/SFX/skillsound_4000005,Assets/Resources/Icons/SkillIcon/skillicon_4000005.png,후방 기습
4000006,3210006,4010006,4020006,4030006,30,100,0.6,SKILL_NAME_06,SKILL_DESC_06,7,5,0,0,Assets/00. resources/Sound/SFX/skillsound_4000006,Assets/Resources/Icons/SkillIcon/skillicon_4000006.png,칼날 결계
4000007,3210007,4010007,4020007,4030007,30,100,0.6,SKILL_NAME_07,SKILL_DESC_07,6,4,0,0,Assets/00. resources/Sound/SFX/skillsound_4000007,Assets/Resources/Icons/SkillIcon/skillicon_4000007.png,십자 절단
4000008,3210008,4010008,4020008,4030008,30,100,0.6,SKILL_NAME_08,SKILL_DESC_08,5,4,0,Assets/02. Prefabs/Skill/skillvfx_4000008.prefab,Assets/00. resources/Sound/SFX/skillsound_4000008,Assets/Resources/Icons/SkillIcon/skillicon_4000008.png,잔상 찌르기
4000009,3210009,4010009,4020009,4030009,300,100,0.6,SKILL_NAME_09,SKILL_DESC_09,5,10,1,Assets/02. Prefabs/Skill/skillvfx_4000009.prefab,Assets/00. resources/Sound/SFX/skillsound_4000009,Assets/Resources/Icons/SkillIcon/skillicon_4000009.png,멸살의 영역
4000010,3210010,4010010,4020010,4030010,300,100,0.6,SKILL_NAME_10,SKILL_DESC_10,10,10,1,Assets/02. Prefabs/Skill/skillvfx_4000010.prefab,Assets/00. resources/Sound/SFX/skillsound_4000010,Assets/Resources/Icons/SkillIcon/skillicon_4000010.png,환영 난무


























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































