스킬 레벨 ID,현재 레벨,다음 레벨업에 필요한 골드 량
levelID,skillLevel,reqGold
int,int,bigdouble
4080001,1,100
4080002,2,111
4080003,3,123
4080004,4,136
4080005,5,150
4080006,6,165
4080007,7,182
4080008,8,199
4080009,9,218
4080010,10,238
4080011,11,260
4080012,12,283
4080013,13,308
4080014,14,334
4080015,15,362
4080016,16,392
4080017,17,423
4080018,18,457
4080019,19,492
4080020,20,530
4080021,21,570
4080022,22,613
4080023,23,658
4080024,24,706
4080025,25,756
4080026,26,810
4080027,27,868
4080028,28,928
4080029,29,993
4080030,30,1061
4080031,31,1134
4080032,32,1211
4080033,33,1293
4080034,34,1381
4080035,35,1474
4080036,36,1572
4080037,37,1678
4080038,38,1789
4080039,39,1909
4080040,40,2036
4080041,41,2171
4080042,42,2316
4080043,43,2470
4080044,44,2635
4080045,45,2811
4080046,46,2999
4080047,47,3200
4080048,48,3416
4080049,49,3646
4080050,50,3893
4080051,51,4158
4080052,52,4442
4080053,53,4747
4080054,54,5074
4080055,55,5426
4080056,56,5804
4080057,57,6211
4080058,58,6649
4080059,59,7121
4080060,60,7630
4080061,61,8179
4080062,62,8771
4080063,63,9411
4080064,64,10103
4080065,65,10851
4080066,66,11661
4080067,67,12538
4080068,68,13489
4080069,69,14519
4080070,70,15638
4080071,71,16853
4080072,72,18174
4080073,73,19610
4080074,74,21174
4080075,75,22876
4080076,76,24732
4080077,77,26755
4080078,78,28964
4080079,79,31377
4080080,80,34014
4080081,81,36899
4080082,82,40056
4080083,83,43515
4080084,84,47307
4080085,85,51466
4080086,86,56032
4080087,87,61049
4080088,88,66564
4080089,89,72632
4080090,90,79314
4080091,91,86676
4080092,92,94794
4080093,93,103753
4080094,94,113646
4080095,95,124580
4080096,96,136672
4080097,97,150056
4080098,98,164881
4080099,99,181315
4080100,100,199544
4080101,101,219782
4080102,102,242265
4080103,103,267263
4080104,104,295078
4080105,105,326049
4080106,106,360562
4080107,107,399051
4080108,108,442007
4080109,109,489983
4080110,110,543609
4080111,111,603594
4080112,112,670743
4080113,113,745971
4080114,114,830313
4080115,115,924946
4080116,116,1031206
4080117,117,1150612
4080118,118,1284895
4080119,119,1436023
4080120,120,1606240
4080121,121,1798103
4080122,122,2014532
4080123,123,2258858
4080124,124,2534889
4080125,125,2846979
4080126,126,3200109
4080127,127,3599983
4080128,128,4053138
4080129,129,4567065
4080130,130,5150365
4080131,131,5812911
4080132,132,6566048
4080133,133,7422821
4080134,134,8398241
4080135,135,9509595
4080136,136,10776801
4080137,137,12222828
4080138,138,13874182
4080139,139,15761470
4080140,140,17920063
4080141,141,20390866
4080142,142,23221215
4080143,143,26465929
4080144,144,30188540
4080145,145,34462727
4080146,146,39373999
4080147,147,45021668
4080148,148,51521157
4080149,149,59006711
4080150,150,67634575
4080151,151,77586738
4080152,152,89075316
4080153,153,102347726
4080154,154,117692766
4080155,155,135447774
4080156,156,156007077
4080157,157,179831946
4080158,158,207462348
4080159,159,239530835
4080160,160,276778945
4080161,161,320076613
4080162,162,370445133
4080163,163,429084365
4080164,164,497404972
4080165,165,577066651
4080166,166,670023511
4080167,167,778577961
4080168,168,905444750
4080169,169,1053827138
4080170,170,1227507523
4080171,171,1430955395
4080172,172,1669455963
4080173,173,1949263562
4080174,174,2277784720
4080175,175,2663796770
4080176,176,3117709107
4080177,177,3651875595
4080178,178,4280968434
4080179,179,5022425855
4080180,180,5896988611
4080181,181,6929343329
4080182,182,8148894521
4080183,183,9590691647
4080184,184,11296543140
4080185,185,13316356021
4080186,186,15709747918
4080187,187,18547988222
4080188,188,21916337210
4080189,189,25916866700
4080190,190,30671863709
4080191,191,36327940511
4080192,192,43061001134
4080193,193,51082246959
4080194,194,60645443878
4080195,195,72055722170
4080196,196,85680239785
4080197,197,102000000000
4080198,198,121000000000
4080199,199,145000000000
4080200,200,173000000000
4080201,201,206000000000
4080202,202,246000000000
4080203,203,294000000000
4080204,204,352000000000
4080205,205,422000000000
4080206,206,506000000000
4080207,207,606000000000
4080208,208,728000000000
4080209,209,874000000000
4080210,210,1050000000000
4080211,211,1260000000000
4080212,212,1520000000000
4080213,213,1830000000000
4080214,214,2210000000000
4080215,215,2670000000000
4080216,216,3230000000000
4080217,217,3900000000000
4080218,218,4720000000000
4080219,219,5710000000000
4080220,220,6920000000000
4080221,221,8390000000000
4080222,222,10200000000000
4080223,223,12400000000000
4080224,224,15000000000000
4080225,225,18300000000000
4080226,226,22200000000000
4080227,227,27100000000000
4080228,228,33000000000000
4080229,229,40300000000000
4080230,230,49200000000000
4080231,231,60100000000000
4080232,232,73500000000000
4080233,233,90000000000000
4080234,234,110000000000000
4080235,235,135000000000000
4080236,236,166000000000000
4080237,237,203000000000000
4080238,238,250000000000000
4080239,239,307000000000000
4080240,240,378000000000000
4080241,241,466000000000000
4080242,242,574000000000000
4080243,243,708000000000000
4080244,244,873000000000000
4080245,245,1080000000000000
4080246,246,1330000000000000
4080247,247,1650000000000000
4080248,248,2040000000000000
4080249,249,2530000000000000
4080250,250,3140000000000000
4080251,251,3890000000000000
4080252,252,4830000000000000
4080253,253,6000000000000000
4080254,254,7470000000000000
4080255,255,9290000000000000
4080256,256,11600000000000000
4080257,257,14400000000000000
4080258,258,18000000000000000
4080259,259,22500000000000000
4080260,260,28100000000000000
4080261,261,35100000000000000
4080262,262,43900000000000000
4080263,263,55000000000000000
4080264,264,68900000000000000
4080265,265,86400000000000000
4080266,266,108000000000000000
4080267,267,136000000000000000
4080268,268,171000000000000000
4080269,269,215000000000000000
4080270,270,271000000000000000
4080271,271,341000000000000000
4080272,272,430000000000000000
4080273,273,543000000000000000
4080274,274,686000000000000000
4080275,275,866000000000000000
4080276,276,1100000000000000000
4080277,277,1390000000000000000
4080278,278,1760000000000000000
4080279,279,2230000000000000000
4080280,280,2820000000000000000
4080281,281,3580000000000000000
4080282,282,4550000000000000000
4080283,283,5780000000000000000
4080284,284,7360000000000000000
4080285,285,9360000000000000000
4080286,286,11900000000000000000
4080287,287,15200000000000000000
4080288,288,19400000000000000000
4080289,289,24800000000000000000
4080290,290,31700000000000000000
4080291,291,40500000000000000000
4080292,292,51800000000000000000
4080293,293,66400000000000000000
4080294,294,85000000000000000000
4080295,295,109000000000000000000
4080296,296,140000000000000000000
4080297,297,180000000000000000000
4080298,298,231000000000000000000
4080299,299,297000000000000000000
4080300,300,383000000000000000000
4080301,301,493000000000000000000
4080302,302,636000000000000000000
4080303,303,820000000000000000000
4080304,304,1.06e+21
4080305,305,1.37e+21
4080306,306,1.77e+21
4080307,307,2.29e+21
4080308,308,2.96e+21
4080309,309,3.84e+21
4080310,310,4.98e+21
4080311,311,6.46e+21
4080312,312,8.39e+21
4080313,313,1.09e+22
4080314,314,1.42e+22
4080315,315,1.85e+22
4080316,316,2.41e+22
4080317,317,3.14e+22
4080318,318,4.09e+22
4080319,319,5.34e+22
4080320,320,6.98e+22
4080321,321,9.12e+22
4080322,322,1.19e+23
4080323,323,1.56e+23
4080324,324,2.05e+23
4080325,325,2.68e+23
4080326,326,3.52e+23
4080327,327,4.62e+23
4080328,328,6.08e+23
4080329,329,7.99e+23
4080330,330,1.05e+24
4080331,331,1.38e+24
4080332,332,1.82e+24
4080333,333,2.41e+24
4080334,334,3.18e+24
4080335,335,4.19e+24
4080336,336,5.54e+24
4080337,337,7.33e+24
4080338,338,9.71e+24
4080339,339,1.29e+25
4080340,340,1.7e+25
4080341,341,2.26e+25
4080342,342,3e+25
4080343,343,3.99e+25
4080344,344,5.3e+25
4080345,345,7.05e+25
4080346,346,9.39e+25
4080347,347,1.25e+26
4080348,348,1.67e+26
4080349,349,2.22e+26
4080350,350,2.97e+26
4080351,351,3.97e+26
4080352,352,5.3e+26
4080353,353,7.1e+26
4080354,354,9.5e+26
4080355,355,1.27e+27
4080356,356,1.71e+27
4080357,357,2.29e+27
4080358,358,3.08e+27
4080359,359,4.13e+27
4080360,360,5.56e+27
4080361,361,7.48e+27
4080362,362,1.01e+28
4080363,363,1.36e+28
4080364,364,1.83e+28
4080365,365,2.47e+28
4080366,366,3.34e+28
4080367,367,4.51e+28
4080368,368,6.1e+28
4080369,369,8.25e+28
4080370,370,1.12e+29
4080371,371,1.52e+29
4080372,372,2.06e+29
4080373,373,2.79e+29
4080374,374,3.79e+29
4080375,375,5.15e+29
4080376,376,7e+29
4080377,377,9.53e+29
4080378,378,1.3e+30
4080379,379,1.77e+30
4080380,380,2.41e+30
4080381,381,3.29e+30
4080382,382,4.5e+30
4080383,383,6.15e+30
4080384,384,8.41e+30
4080385,385,1.15e+31
4080386,386,1.58e+31
4080387,387,2.16e+31
4080388,388,2.97e+31
4080389,389,4.07e+31
4080390,390,5.59e+31
4080391,391,7.69e+31
4080392,392,1.06e+32
4080393,393,1.46e+32
4080394,394,2.01e+32
4080395,395,2.76e+32
4080396,396,3.81e+32
4080397,397,5.26e+32
4080398,398,7.27e+32
4080399,399,1.01e+33
4080400,400,1.39e+33
4080401,401,1.93e+33
4080402,402,2.67e+33
4080403,403,3.7e+33
4080404,404,5.13e+33
4080405,405,7.12e+33
4080406,406,9.89e+33
4080407,407,1.37e+34
4080408,408,1.91e+34
4080409,409,2.66e+34
4080410,410,3.71e+34
4080411,411,5.17e+34
4080412,412,7.21e+34
4080413,413,1.01e+35
4080414,414,1.41e+35
4080415,415,1.97e+35
4080416,416,2.75e+35
4080417,417,3.85e+35
4080418,418,5.39e+35
4080419,419,7.56e+35
4080420,420,1.06e+36
4080421,421,1.49e+36
