스테이지 ID,스테이지 정보,스테이지 타입,스테이지 레벨,층,씬,스테이지명 스트링 키,보스를 소환하기 위한 몬스터 처치 수,드랍 테이블,일반 몬스터 경험치,보스 몬스터 경험치,몬스터 스폰 그룹,맵 오브젝트
stageID,desc,stageType,stageLevel,floorNumber,sceneNumber,stageName,monsterKillCount,dropTableID,commonMonsterExp,bossMonsterExp,monsterSpawnGroup,mapObject
int,string,enum,int,int,int,string,int,int,int,int,int,string
6010001,일반 스테이지,1,1,1,1,stageName_0001,120,6510001,2,10,1,theme01
6010002,일반 스테이지,1,2,1,2,stageName_0001,120,6510002,2,11,1,theme01
6010003,일반 스테이지,1,3,1,3,stageName_0001,120,6510003,2,11,1,theme01
6010004,일반 스테이지,1,4,1,4,stageName_0001,120,6510004,2,12,1,theme01
6010005,일반 스테이지,1,5,1,5,stageName_0001,120,6510005,2,12,1,theme01
6010006,일반 스테이지,1,6,1,6,stageName_0001,120,6510006,3,13,1,theme01
6010007,일반 스테이지,1,7,1,7,stageName_0001,120,6510007,3,13,1,theme01
6010008,일반 스테이지,1,8,1,8,stageName_0001,120,6510008,3,14,1,theme01
6010009,일반 스테이지,1,9,1,9,stageName_0001,120,6510009,3,15,1,theme01
6010010,일반 스테이지,1,10,1,10,stageName_0001,120,6510010,3,16,1,theme01
6010011,일반 스테이지,1,11,1,11,stageName_0001,120,6510011,3,16,2,theme01
6010012,일반 스테이지,1,12,1,12,stageName_0001,120,6510012,3,17,2,theme01
6010013,일반 스테이지,1,13,1,13,stageName_0001,120,6510013,4,18,2,theme01
6010014,일반 스테이지,1,14,1,14,stageName_0001,120,6510014,4,19,2,theme01
6010015,일반 스테이지,1,15,1,15,stageName_0001,120,6510015,4,20,2,theme01
6010016,일반 스테이지,1,16,1,16,stageName_0001,120,6510016,4,21,2,theme01
6010017,일반 스테이지,1,17,1,17,stageName_0001,120,6510017,4,22,2,theme01
6010018,일반 스테이지,1,18,1,18,stageName_0001,120,6510018,5,23,2,theme01
6010019,일반 스테이지,1,19,1,19,stageName_0001,120,6510019,5,24,2,theme01
6010020,일반 스테이지,1,20,1,20,stageName_0001,120,6510020,5,25,2,theme01
6010021,일반 스테이지,1,21,2,1,stageName_0002,120,6510021,5,27,2,theme02
6010022,일반 스테이지,1,22,2,2,stageName_0002,120,6510022,6,28,2,theme02
6010023,일반 스테이지,1,23,2,3,stageName_0002,120,6510023,6,29,2,theme02
6010024,일반 스테이지,1,24,2,4,stageName_0002,120,6510024,6,31,2,theme02
6010025,일반 스테이지,1,25,2,5,stageName_0002,120,6510025,6,32,2,theme02
6010026,일반 스테이지,1,26,2,6,stageName_0002,120,6510026,7,34,2,theme02
6010027,일반 스테이지,1,27,2,7,stageName_0002,120,6510027,7,36,2,theme02
6010028,일반 스테이지,1,28,2,8,stageName_0002,120,6510028,7,37,2,theme02
6010029,일반 스테이지,1,29,2,9,stageName_0002,120,6510029,8,39,2,theme02
6010030,일반 스테이지,1,30,2,10,stageName_0002,120,6510030,8,41,2,theme02
6010031,일반 스테이지,1,31,2,11,stageName_0002,120,6510031,9,43,2,theme02
6010032,일반 스테이지,1,32,2,12,stageName_0002,120,6510032,9,45,2,theme02
6010033,일반 스테이지,1,33,2,13,stageName_0002,120,6510033,10,48,2,theme02
6010034,일반 스테이지,1,34,2,14,stageName_0002,120,6510034,10,50,2,theme02
6010035,일반 스테이지,1,35,2,15,stageName_0002,120,6510035,11,53,2,theme02
6010036,일반 스테이지,1,36,2,16,stageName_0002,120,6510036,11,55,2,theme02
6010037,일반 스테이지,1,37,2,17,stageName_0002,120,6510037,12,58,2,theme02
6010038,일반 스테이지,1,38,2,18,stageName_0002,120,6510038,12,61,2,theme02
6010039,일반 스테이지,1,39,2,19,stageName_0002,120,6510039,13,64,2,theme02
6010040,일반 스테이지,1,40,2,20,stageName_0002,120,6510040,13,67,2,theme02
