스톤 ID,스톤 등급,스톤 티어,강화비용,해금 레벨,해금 강화 수치,재설정 비용,강화 초기화 비용,강화 초기 확률,강화 최대 확률,강화 최소 확률,첫번째 칸 강화 횟수,두번째 칸 강화 횟수,세번째 칸 강화 횟수
stoneId,stoneGrade,stoneTier,stoneUpCost,stoneUnlock,stoneNeedUp,stoneStatRerollCost,stoneUpResetCost,stoneUpStartProbability,stoneMaxProbability,stoneMinProbability,stoneFirstUpOpportunity,stoneSecondUpOpportunity,stoneThirdUpOpportunity
int,enum,bool,int,int,int,int,int,float,float,float,int,int,int
1050001,0,FALSE,1000,5,0,1000,100,0.75,0.75,0.25,10,10,10
1050002,1,FALSE,1500,6,12,1500,150,0.75,0.75,0.25,10,10,10
1050003,2,FALSE,2000,7,13,2000,200,0.75,0.75,0.25,10,10,10
1050004,3,FALSE,2500,8,14,2500,250,0.75,0.75,0.25,10,10,10
1050005,4,FALSE,3000,9,15,3000,300,0.75,0.75,0.25,10,10,10
1050006,0,TRUE,1,10,15,3500,350,0.75,0.75,0.25,10,10,10
1050007,1,TRUE,1,11,15,4000,400,0.75,0.75,0.25,10,10,10
1050008,2,TRUE,1,12,16,4500,450,0.75,0.75,0.25,10,10,10
1050009,3,TRUE,1,13,16,5000,500,0.75,0.75,0.25,10,10,10
1050010,4,TRUE,1,14,16,5500,550,0.75,0.75,0.25,10,10,10
